Type d'action,Titre,Description,Moment de déclenchement,Règle de calcul de la date d'échéance,Durée actuelle (jours),Rôle assigné
FEEF_VALIDATE_CASE_SUBMISSION,Valider le dépôt d'un dossier,Examiner et approuver la soumission du dossier de candidature,Quand le dossier passe au statut "En attente d'approbation du dossier",X jours après le déclenchement,7,FEEF
FEEF_VALIDATE_LABELING_DECISION,Valider la labellisation d'un audit,Examiner l'avis de l'OE et prendre la décision finale de labellisation,Quand l'audit passe au statut "En attente de décision FEEF",X jours après le déclenchement,10,FEEF
ENTITY_SUBMIT_CASE,Déposer son dossier,"Compléter votre dossier puis soumettez-le pour candidater à la labellisation",Pas de déclenchement automatique (créé manuellement),X jours après le déclenchement,30,Entité
ENTITY_MARK_DOCUMENTARY_REVIEW_READY,Marquer la revue documentaire comme prête,Confirmer que tous vos documents sont à jour et prêts pour la revue,Quand l'audit passe au statut "Planifié",X jours AVANT la date de début de l'audit (actualStartDate),14,Entité
ENTITY_CHOOSE_OE,Choisir son organisme évaluateur,Sélectionner l'OE qui effectuera votre audit de labellisation,Quand l'audit passe au statut "En attente de choix de l'OE",X jours après le déclenchement,15,Entité
ENTITY_UPLOAD_REQUESTED_DOCUMENTS,Mettre à jour les documents demandés,Téléverser une nouvelle version des documents requis,Pas de déclenchement automatique (créé manuellement),X jours après le déclenchement,10,Entité
ENTITY_UPDATE_CASE_INFORMATION,Mettre à jour les informations du dossier,Modifier les informations demandées dans votre dossier,Pas de déclenchement automatique (créé manuellement),X jours après le déclenchement,10,Entité
ENTITY_SIGN_FEEF_CONTRACT,Signer le contrat avec la FEEF,Signer le contrat d'engagement avec la FEEF,Quand le contrat passe au statut "En attente de signature de l'entité",X jours après le déclenchement,15,Entité
ENTITY_UPLOAD_CORRECTIVE_PLAN,Mettre en ligne votre plan d'action correctif,Téléverser le plan d'action pour corriger les non-conformités identifiées lors de l'audit,Quand l'audit passe au statut "En attente de plan correctif",X jours après le déclenchement,15,Entité
OE_ACCEPT_OR_REFUSE_AUDIT,Accepter ou refuser l'audit,Indiquez si vous acceptez ou refusez d'effectuer cet audit,Quand l'audit passe au statut "En attente d'acceptation de l'OE",X jours après le déclenchement,7,OE
SET_AUDIT_DATES,Définir les dates d'audit,Définir les dates de début et de fin de l'audit,Quand l'audit passe au statut "Planification",X jours après le déclenchement,10,OE / Auditeur
UPLOAD_AUDIT_PLAN,Mettre en ligne le plan d'audit,Téléverser le plan d'audit détaillé,Quand l'audit passe au statut "Planification",X jours après le déclenchement,15,OE / Auditeur
UPLOAD_AUDIT_REPORT,Mettre en ligne le rapport d'audit et les scores,Téléverser le rapport complet de l'audit avec les scores,Quand l'audit passe au statut "En attente de rapport",X jours après le déclenchement,20,OE / Auditeur
VALIDATE_CORRECTIVE_PLAN,Valider le plan d'action correctif,Examiner et valider le plan d'action correctif de l'entité,Quand l'audit passe au statut "En attente de validation du plan correctif",X jours après le déclenchement,10,OE / Auditeur
UPLOAD_LABELING_OPINION,Mettre en ligne l'avis de labellisation,Téléverser votre avis final concernant la labellisation,Quand l'audit passe au statut "En attente d'avis de l'OE",X jours après le déclenchement,15,OE / Auditeur
