Nom;SIRET;Type d'entité;Mode labellisation;Organisme Évaluateur;Chargé de compte;Dernier audit;Dernière mise à jour
WOLF LINGERIE;63850210400042;Entreprise;Maître;Ecocert;;Planification - Suivi (documentaire);26 mai 2026
PAGES VEDRENNE;35382104400065;Entreprise;Maître;Ecocert;;Planification - Suivi (physique);26 mai 2026
OCCITANE PLATS CUISINES;80378260600013;Entreprise;Maître;Ecocert;;Planification - Suivi (documentaire);26 mai 2026
Natur'Opéra;84954105700014;Entreprise;Maître;Ecocert;;Planification - Suivi (physique);26 mai 2026
MALONGO;95580206100106;Entreprise;Maître;Ecocert;;Planification - Suivi (physique);26 mai 2026
LPA - LES P'TITS AMOUREUX;41428075000020;Entreprise;Maître;Ecocert;;Planification - Suivi (documentaire);26 mai 2026
LOC MARIA;48310030100033;Entreprise;Maître;Ecocert;;Terminé - Suivi (physique);26 mai 2026
LOBODIS;34465626900075;Entreprise;Maître;Ecocert;;Planification - Suivi (documentaire);26 mai 2026
LA FRANCO ARGENTINE;35309884100029;Entreprise;Maître;Ecocert;;Terminé - Suivi (physique);26 mai 2026
LA BROSSE ET DUPONT;57213300700144;Entreprise;Maître;Ecocert;;Planification - Suivi (physique);26 mai 2026
GROUPE FRANCAISE DE GASTRONOMIE;55850337100160;Entreprise;Maître;Ecocert;;Planification - Suivi (physique);26 mai 2026
FROMAGERIE MILLERET;42625002300014;Entreprise;Maître;Ecocert;;Planification - Suivi (physique);26 mai 2026
Collectif AEB services;89841681300019;Entreprise;Maître;Ecocert;;Planification - Suivi (documentaire);26 mai 2026
CAROLA;91542023600019;Entreprise;Maître;Ecocert;;Planification - Suivi (documentaire);26 mai 2026
CALUIRE LEGUMES;31837834600049;Entreprise;Maître;Ecocert;;Terminé - Initial;26 mai 2026
AGROPROD;75092104100026;Entreprise;Maître;Ecocert;;Planification - Suivi (physique);26 mai 2026
VITANUTRITION;49801422400014;Entreprise;Maître;Ecocert;;Terminé - Suivi (physique);26 mai 2026
UPCS (Groupe DEBROAS);41265481600021;Entreprise;Maître;Ecocert;;Planification - Suivi (physique);26 mai 2026
