Nom;SIRET;Type d'entité;Mode labellisation;Organisme Évaluateur;Chargé de compte;Dernier audit;Dernière mise à jour
VITAGERMINE;FAKE0626617049;Groupe;Maître;Ecocert;;;26 mai 2026
SAVEURS ET TRADITIONS CONSEIL (holding);FAKE0954383462;Groupe;Maître;Ecocert;;;26 mai 2026
GROUPE SILL;FAKE0915364752;Groupe;Maître;Ecocert;;;26 mai 2026
SARAPARTICIPATIONS;FAKE0804144753;Groupe;Maître;Ecocert;;;26 mai 2026
AEB SERVICES;FAKE0437728672;Groupe;Maître;Ecocert;;;26 mai 2026
GROUPE PIERRE SCHMIDT;FAKE0719615817;Groupe;Maître;Ecocert;;;26 mai 2026
FABULOUS FRENCH BRASSEURS;FAKE0799711437;Groupe;Maître;Ecocert;;;26 mai 2026
MOULIN DES MOINES;FAKE1736353765;Groupe;Maître;Ecocert;;;26 mai 2026
GROUPE EUGENE BLOND;FAKE0314912326;Groupe;Maître;Ecocert;;;26 mai 2026
GROUPE LE GRAET;FAKE1464707176;Groupe;Maître;Ecocert;;;26 mai 2026
GROUPE  KASKASS;FAKE1146740333;Groupe;Maître;Ecocert;;;26 mai 2026
GROUPE SECO;FAKE0915368872;Groupe;Maître;Ecocert;;;26 mai 2026
