name;siret;type;mode;parentSiret;oe;ecocertId;sgsCode;crmId;address;postalCode;city;region;phoneNumber;firstLabelingDate
CAFES LE BONIFIEUR;37926939200021;COMPANY;MASTER;;ECOCERT;321474;;805250ae-ceaf-11ef-a429-005056966fe6;4 rue Jean Prudet;40990;SAINT PAUL LES DAX;Aquitaine;05 58 91 93 82;
MAISON COLLET;82947982300033;GROUP;MASTER;;ECOCERT;320736;;a7f81cdc-0be0-11f1-bccb-005056966fe6;4, impasse de la Zone;42370;RENAISON;Auvergne Rhône Alpes;04 77 63 11 66;
LAITERIE BAIKO;82895870200023;COMPANY;FOLLOWER;82947982300033;ECOCERT;;;bb51cb2e-0be1-11f1-8ead-005056966fe6;442 rue Louis Rustin;74160;ARCHAMPS;Auvergne Rhône Alpes;;
LAITERIE COLLET;40290959200025;COMPANY;FOLLOWER;82947982300033;ECOCERT;67898;;9e5c4aa4-6ed7-11ec-a58d-fa163eb33c65;1975 Route de Roanne;42370;RENAISON;Auvergne Rhône Alpes;477631166;
VEGETAL & SANTE;84148785300019;COMPANY;FOLLOWER;82947982300033;ECOCERT;;;78b8f256-0be1-11f1-80ec-005056966fe6;4, impasse de la Zone;42370;RENAISON;Auvergne Rhône Alpes;04 77 63 11 66;
BONNEVAL MERGENCE;50749690900049;COMPANY;MASTER;;ECOCERT;321192;;c53f0372-0a95-11ee-a90e-fa163e4cbe98;780 ROUTE DE MALGOVERT;73700;SEEZ;Savoie;04 79 55 53 75;
SEREALYS;80883569800016;COMPANY;MASTER;;ECOCERT;156935;;4795319c-f9a6-11ef-896e-005056966fe6;435 Chemin de Montcoudiol;43140;LA SEAUVE DUR SEMENE;Auvergne Rhône Alpes;04 71 59 95 77;
MAISON ROUSTIT;32072245700035;COMPANY;MASTER;;ECOCERT;183149;;0452c27a-e8de-11e9-96e5-fa163eb33c65;ZA DOLMEN;81250;ALBAN;Occitanie;05 63 79 20 25;
BRASSERIE ARTISANALE RATZ;43509328100028;COMPANY;MASTER;;ECOCERT;121684;;71e38fae-2410-11f0-9b14-005056966fe6;Parc d'activités de Cahors-Sud, 725;46230;FONTANES;Occitanie;05 65 53 05 63;
ARDEA;54202583800377;COMPANY;MASTER;;ECOCERT;319931;;1c764882-0936-11ee-ac1c-fa163e4cbe98;34 Boulevard Ornano;93200;SAINT DENIS;Ile de France;01 55 87 09 60;
BRASSERIE PLORMEL;51322171300037;COMPANY;MASTER;;ECOCERT;321230;;aa51e464-1774-11ec-89ee-fa163eb33c65;4 rue Gutenberg;44116;VIEILLEVIGNE;Pays de la Loire;02 28 07 64 99;
GOULIBEUR;39345646200018;COMPANY;MASTER;;ECOCERT;229753;;;;;;;;
NATUR&CO;85144790400018;COMPANY;MASTER;;SGS;;ALMOPME0008634100;b577e18e-1cff-11ea-a1d2-fa163eb33c65;19 RUE DU ROUSSILLON;66240;SAINT ESTEVE;Occitanie;448500025;
LA NORMANDISE;38261641500024;COMPANY;MASTER;;SGS;;ALMOPME0008649100;502fd18a-e564-11ec-a886-fa163e4cbe98;rue de l'Allière;14500;Vire;Normandie;;
APPETI' MARINE;50946575300010;COMPANY;MASTER;;SGS;;ALMOPME0008594500;677d577c-ea1a-11f0-a5aa-005056966fe6;Avenue de la Gironde - ZI de Petite Synthe;59640;DUNKERQUE;Hauts de France;03 74 13 03 80;
TDM GROUP TERRE DE MARINS;33203790200019;COMPANY;MASTER;;SGS;;ALMOPME0008638500;0bbe0da8-e8de-11e9-8455-fa163eb33c65;AXIALE - TDM boutique, Service-Client rue eiffel, Z.I. La Bergerie;49124;LA SEGUINIERE;;241564567;
INÉLIS;42913957900057;COMPANY;MASTER;;SGS;;ALMOPME0008629300;211f24f4-d8d0-11ec-8351-fa163eb33c65;123 Rue Guillaume Fouace;50000;SAINT - LÔ;NORMANDIE;;
MY PIE;81022553200037;COMPANY;MASTER;;SGS;;ALMOPME0008629400;fe33fa54-a5b9-11f0-ac5d-005056966fe6;312 avenue Emile Zola;53120;GORRON;PAYS DE LOIRE;02 55 99 51 41;
ALTHODE;82916035700036;COMPANY;MASTER;;SGS;;ALMOPME0008594600;1aed19b6-6b5d-11ef-a216-005056966fe6;2, rue Gustave Eiffel;49129;LE PLESSIS GRAMMOIRE;PAYS DE LOIRE;;
HOOPE;83919443800017;COMPANY;MASTER;;SGS;;ARSOPME0008734500;c9bc95c2-e8de-11e9-9e14-fa163eb33c65;MIN de Toulouse, 146 Av. des États-Unis;31200;Toulouse;;;
GROUPE SILL;63622022000017;GROUP;MASTER;;ECOCERT;;;;;;;;;
VITAGERMINE;77558681100132;GROUP;MASTER;;ECOCERT;;;;;;;;;
GRANDS VINS SELECTION - GVS;34249639500027;GROUP;MASTER;;ECOCERT;;;;;;;;;
