ligne;siret;nom;saison;type_audit;statut_ecocert;probleme;details
25;;FROMAGERIE MILLERET;2026;Additional inspection;2-Inspection order accepted;Audit rattaché par nom;"SIRET audit """" → entité « FROMAGERIE MILLERET » (SIRET base 42625002300014)"
27;63632053300012;POULIQUEN;2026;Renewal audit;2-Inspection in progress;Audit rattaché par nom;"SIRET audit ""63632053300012"" → entité « POULIQUEN » (SIRET base 83964261800020)"
31;821064847;CHICHE;2026;Documentary review;2-Inspector's Infoportal;Audit rattaché par SIREN;SIRET audit 821064847 → entité « CHICHE » (SIRET base 82106484700022)
36;55850337100178;GROUPE FRANCAISE DE  GASTRONOMIE;2026;Annual inspection;2-Inspector's Infoportal;Audit rattaché par SIREN;SIRET audit 55850337100178 → entité « GROUPE FRANCAISE DE GASTRONOMIE » (SIRET base 55850337100160)
37;90003265700026;ATELIER CORSE FRUITS ET LEGUMES;2026;Documentary review;2-Inspector's Infoportal;Audit rattaché par SIREN;SIRET audit 90003265700026 → entité « ATELIER CORSE FRUITS ET LEGUMES » (SIRET base 90003265700018)
48;38233895200056;SPH GERARD BERTRAND SITE EMBOUTEILLAGE NARBONNE;2026;Additional inspection;2-Inspection order accepted;Audit rattaché par SIREN;SIRET audit 38233895200056 → entité « SPH GERARD BERTRAND » (SIRET base 38233895200023)
51;;LOBODIS;2026;Documentary review;2-Inspector's Infoportal;Audit rattaché par nom;"SIRET audit """" → entité « LOBODIS » (SIRET base 34465626900075)"
57;;ALTHO;2026;Renewal audit;2-Inspector's Infoportal;SIRET manquant;"SIRET brut : """" — nom non rapproché à une entité de la base"
61;44916448200050;ETHIQUABLE;2026;Renewal audit;2-Inspector's Infoportal;Audit rattaché par SIREN;SIRET audit 44916448200050 → entité « ETHIQUABLE » (SIRET base 44916448200027)
72;83094262900015;BIOMERE (ex : Jubiles);2026;Documentary review;2-Inspector's Infoportal;Audit rattaché par SIREN;SIRET audit 83094262900015 → entité « BIOMERE » (SIRET base 83094262900056)
76;33985193300012;MARIE MORIN FRANCE;2026;Documentary review;2-Inspector's Infoportal;Audit rattaché par SIREN;SIRET audit 33985193300012 → entité « MARIE MORIN » (SIRET base 33985193300020)
79;80524372200024;HOLLEA;2026;Documentary review;2-Inspector's Infoportal;Audit rattaché par SIREN;SIRET audit 80524372200024 → entité « HOLLEA » (SIRET base 80524372200016)
91;85580259100013;NATURE ET ALIMENTS;2026;Documentary review;2-Inspector's Infoportal;Audit rattaché par SIREN;SIRET audit 85580259100013 → entité « NATURE ET ALIMENTS » (SIRET base 85580259100021)
93;30887574900019;DELOUIS FILS;2026;Renewal audit;2-Inspector's Infoportal;Audit rattaché par SIREN;SIRET audit 30887574900019 → entité « DELOUIS FILS - MOUTARDES ET CONDIMENTS » (SIRET base 30887574900035)
98;62162092100075;CONFISERIE DU ROY RENE;2026;Renewal audit;2-Inspector's Infoportal;Audit rattaché par SIREN;SIRET audit 62162092100075 → entité « CONFISERIE DU ROY RENE » (SIRET base 62162092100026)
104;;PAGES VEDRENNE;2026;Additional inspection;2-Inspector's Infoportal;Audit rattaché par nom;"SIRET audit """" → entité « PAGES VEDRENNE » (SIRET base 35382104400065)"
105;32135524000037;JC DAVID;2026;Documentary review;2-Inspector's Infoportal;Audit rattaché par nom;"SIRET audit ""32135524000037"" → entité « JC DAVID » (SIRET base 43910041300020)"
109;;AGROPROD;2026;Additional inspection;1-Inspection order created;Audit rattaché par nom;"SIRET audit """" → entité « AGROPROD » (SIRET base 75092104100026)"
110;47998353800030;ALFAGEL;2026;Documentary review;2-Inspector's Infoportal;Audit rattaché par SIREN;SIRET audit 47998353800030 → entité « ALFAGEL » (SIRET base 47998353800022)
116;40588005500059;LA RUCHE ROANNAISE BESACIER;2026;Documentary review;2-Inspector's Infoportal;Audit rattaché par SIREN;SIRET audit 40588005500059 → entité « LA RUCHE ROANNAISE/MIEL BESACIER + (BOITE A CAKE) » (SIRET base 40588005500034)
128;;Salaison SABOIAS;2026;Additional inspection;2-Inspector's Infoportal;Audit rattaché par nom;"SIRET audit """" → entité « Salaison SABOIAS » (SIRET base 44782950800020)"
136;45520300000027;LA COMPAGNIE DU BISCUIT;2026;Additional inspection;2-Inspector's Infoportal;Audit rattaché par SIREN;SIRET audit 45520300000027 → entité « LA COMPAGNIE DU BISCUIT » (SIRET base 45520300000019)
137;57215120700030;SAINTE LUCIE;2026;Documentary review;2-Inspector's Infoportal;Audit rattaché par SIREN;SIRET audit 57215120700030 → entité « SAINTE LUCIE » (SIRET base 57215120700022)
140;303229504;AGROBIOTHERS LABORATOIRE;2026;Renewal audit;2-Inspection order accepted;Audit rattaché par SIREN;SIRET audit 303229504 → entité « AGROBIOTHERS » (SIRET base 30322950400020)
157;74562027800044;ROUTIN;2026;Renewal audit;2-Inspector's Infoportal;Audit rattaché par SIREN;SIRET audit 74562027800044 → entité « ROUTIN SA » (SIRET base 74562027800010)
163;38233895200015;SPH GERARD BERTRAND  - SITE PRINCIPAL;2026;Annual inspection;2-Inspection order accepted;Audit rattaché par SIREN;SIRET audit 38233895200015 → entité « SPH GERARD BERTRAND » (SIRET base 38233895200023)
183;;MALONGO;2026;Additional inspection;2-Inspector's Infoportal;Audit rattaché par nom;"SIRET audit """" → entité « MALONGO » (SIRET base 95580206100106)"
