categorie;nom_feef;siret_feef;ecocert_id_feef_db;nb_ecocert_ids_distincts;ecocert_id_ecocert;nb_audits;noms_client_ecocert;saisons;rattachement_via;match_ecocert_id_feef
À investiguer;ALPES BISCUITS;38219585700018;138024;2;138024;4;ALPES BISCUITS;2023, 2024, 2025, 2026;siret;Oui
À investiguer;ALPES BISCUITS;38219585700018;138024;2;20004;1;ALPES BISCUITS;2022;siret;Non
À investiguer;CAROLA;91542023600019;179209;2;179209;4;DES EAUX MINERALES DE RIBEAUVILLE;2023, 2024, 2025, 2026;siret;Oui
À investiguer;CAROLA;91542023600019;179209;2;84482;1;CAROLA;2022;nom;Non
Doublon interne Ecocert;CHARLES ET ALICE;34768107400048;20673;2;20673;1;CHARLES & ALICE;2026;siret;Oui
Doublon interne Ecocert;CHARLES ET ALICE;34768107400048;20673;2;224915;5;CHARLES & ALICE;2022, 2023, 2024, 2025, 2026;siret;Non
À investiguer;CRYSTAL;48511501800015;300764;2;300764;2;CRYSTAL;2024, 2026;siret, ecocert;Oui
À investiguer;CRYSTAL;48511501800015;300764;2;300767;1;Crystal;2025;siret;Non
Doublon interne Ecocert;CSP PARIS FASHION GROUP;41031726700038;203932;2;203932;6;CSP Paris Fashion Group;2022, 2023, 2024, 2025, 2026;siret;Oui
Doublon interne Ecocert;CSP PARIS FASHION GROUP;41031726700038;203932;2;261502;1;CSP PARIS FASHION GROUP;2024;siren;Non
Doublon interne Ecocert;FROMAGERIE MILLERET;42625002300014;49099;2;105235;1;FROMAGERIE MILLERET;2026;nom;Non
Doublon interne Ecocert;FROMAGERIE MILLERET;42625002300014;49099;2;49099;5;FROMAGERIE MILLERET;2022, 2023, 2024, 2025, 2026;siret;Oui
Doublon interne Ecocert;FRUITS ROUGES & CO (LES FRUITS ROUGES DE L'AISNE);37897020600025;66354;2;298340;1;FRUITS ROUGES & CO;2025;siren;Non
Doublon interne Ecocert;FRUITS ROUGES & CO (LES FRUITS ROUGES DE L'AISNE);37897020600025;66354;2;66354;5;FRUITS ROUGES & CO;2022, 2023, 2024, 2025, 2026;siret;Oui
Doublon interne Ecocert;GROUPE FRANCAISE DE GASTRONOMIE;55850337100160;199225;5;107321;1;GROUPE FRANCAISE DE GASTRONOMIE;2023;siren;Non
Doublon interne Ecocert;GROUPE FRANCAISE DE GASTRONOMIE;55850337100160;199225;5;199225;2;GROUPE FRANCAISE DE GASTRONOMIE;2025, 2026;siret;Oui
Doublon interne Ecocert;GROUPE FRANCAISE DE GASTRONOMIE;55850337100160;199225;5;233287;4;GROUPE FRANCAISE DE  GASTRONOMIE;2022, 2023, 2024, 2026;siren;Non
Doublon interne Ecocert;GROUPE FRANCAISE DE GASTRONOMIE;55850337100160;199225;5;274849;2;GROUPE FRANCAISE DE  GASTRONOMIE;2023, 2025;nom;Non
Doublon interne Ecocert;GROUPE FRANCAISE DE GASTRONOMIE;55850337100160;199225;5;294728;1;GROUPE FRANCAISE DE GASTRONOMIE;2024;nom;Non
Doublon interne Ecocert;LA BROSSE ET DUPONT;57213300700144;84556;3;254624;1;LA BROSSE ET DUPONT;2023;nom;Non
Doublon interne Ecocert;LA BROSSE ET DUPONT;57213300700144;84556;3;254627;1;LA BROSSE ET DUPONT;2023;nom;Non
Doublon interne Ecocert;LA BROSSE ET DUPONT;57213300700144;84556;3;84556;5;LA BROSSE ET DUPONT;2022, 2023, 2024, 2025, 2026;siret;Oui
À investiguer;LA COMPAGNIE DU BISCUIT;45520300000019;119320;2;119320;1;LA COMPAGNIE DU BISCUIT;2024;siret;Oui
À investiguer;LA COMPAGNIE DU BISCUIT;45520300000019;119320;2;37018;1;LA COMPAGNIE DU BISCUIT;2026;siren;Non
Doublon interne Ecocert;LOC MARIA;48310030100033;188498;6;166648;1;LMT Biscuiteries;2023;override;Non
Doublon interne Ecocert;LOC MARIA;48310030100033;188498;6;188498;6;LOC MARIA BISCUITS;2022, 2023, 2024, 2025, 2026;override;Oui
Doublon interne Ecocert;LOC MARIA;48310030100033;188498;6;188502;1;LMT Biscuiteries ( site de Coray);2026;override;Non
Doublon interne Ecocert;LOC MARIA;48310030100033;188498;6;245828;2;LOC MARIA BISCUIT;2023, 2026;override;Non
Doublon interne Ecocert;LOC MARIA;48310030100033;188498;6;245839;2;LOC MARIA;2023, 2025;nom;Non
Doublon interne Ecocert;LOC MARIA;48310030100033;188498;6;66353;1;LMT Biscuiteries (site de Pont Aven);2022;override;Non
Doublon interne Ecocert;MALONGO;95580206100106;20103;2;20103;5;COMPAGNIE MEDITERRANEENNE DES CAFES MALONGO - CMC;2022, 2023, 2024, 2025, 2026;siret;Oui
Doublon interne Ecocert;MALONGO;95580206100106;20103;2;315282;1;MALONGO;2026;nom;Non
Doublon interne Ecocert;Natur'Opéra;84954105700014;253758;2;253758;4;Natur'opéra;2023, 2024, 2025, 2026;siret;Oui
Doublon interne Ecocert;Natur'Opéra;84954105700014;253758;2;313350;2;Natur'Opéra;2025, 2026;nom;Non
Doublon interne Ecocert;PAGES VEDRENNE;35382104400065;247649;3;247649;5;PAGES VEDRENNE;2022, 2023, 2024, 2025, 2026;siret;Oui
Doublon interne Ecocert;PAGES VEDRENNE;35382104400065;247649;3;247838;1;PAGES VEDRENNE;2023;nom;Non
Doublon interne Ecocert;PAGES VEDRENNE;35382104400065;247649;3;247840;1;PAGES VEDRENNE;2026;nom;Non
Doublon interne Ecocert;REITZEL BRIAND;34746424000063;64176;2;180053;1;REITZEL BRIAND;2026;siren;Non
Doublon interne Ecocert;REITZEL BRIAND;34746424000063;64176;2;64176;5;REITZEL BRIAND;2022, 2023, 2025, 2026;siret;Oui
Doublon interne Ecocert;RIGA;88548029300079;313713;2;312541;2;RIGA SAS;2025, 2026;siret;Non
Doublon interne Ecocert;RIGA;88548029300079;313713;2;313713;1;RIGA SAS ( Logistique);2026;siret;Oui
Doublon interne Ecocert;SPH GERARD BERTRAND;38233895200023;;2;102352;1;SPH GERARD BERTRAND SITE EMBOUTEILLAGE NARBONNE;2026;siren;Non
Doublon interne Ecocert;SPH GERARD BERTRAND;38233895200023;;2;64142;3;SPH GERARD BERTRAND  - SITE PRINCIPAL;2023, 2025, 2026;siren;Non
Doublon interne Ecocert;VITANUTRITION;49801422400014;236053;2;236053;1;VITANUTRITION;2023;siret;Oui
Doublon interne Ecocert;VITANUTRITION;49801422400014;236053;2;26880;1;VITANUTRITION;2023;siret;Non
